;Concurso;bola_id;bola_num_sort
554;37;Bola9;13.0
555;38;Bola1;1.0
556;38;Bola10;14.0
557;38;Bola11;15.0
558;38;Bola12;16.0
559;38;Bola13;22.0
560;38;Bola14;24.0
561;38;Bola15;25.0
562;38;Bola2;2.0
563;38;Bola3;3.0
564;38;Bola4;6.0
565;38;Bola5;7.0
566;38;Bola6;8.0
567;38;Bola7;9.0
568;38;Bola8;10.0
569;38;Bola9;13.0
570;39;Bola1;2.0
571;39;Bola10;18.0
572;39;Bola11;19.0
573;39;Bola12;21.0
574;39;Bola13;22.0
575;39;Bola14;23.0
576;39;Bola15;24.0
577;39;Bola2;7.0
578;39;Bola3;8.0
579;39;Bola4;9.0
580;39;Bola5;11.0
581;39;Bola6;13.0
582;39;Bola7;14.0
583;39;Bola8;15.0
584;39;Bola9;17.0
585;40;Bola1;1.0
586;40;Bola10;16.0
587;40;Bola11;17.0
588;40;Bola12;20.0
589;40;Bola13;21.0
590;40;Bola14;22.0
591;40;Bola15;24.0
592;40;Bola2;2.0
593;40;Bola3;5.0
594;40;Bola4;7.0
595;40;Bola5;8.0
596;40;Bola6;10.0
597;40;Bola7;12.0
598;40;Bola8;13.0
599;40;Bola9;14.0
600;41;Bola1;2.0
601;41;Bola10;18.0
602;41;Bola11;19.0
603;41;Bola12;20.0
604;41;Bola13;21.0
605;41;Bola14;23.0
606;41;Bola15;25.0
607;41;Bola2;3.0
608;41;Bola3;4.0
609;41;Bola4;9.0
610;41;Bola5;12.0
611;41;Bola6;13.0
612;41;Bola7;15.0
613;41;Bola8;16.0
614;41;Bola9;17.0
615;42;Bola1;1.0
616;42;Bola10;15.0
617;42;Bola11;17.0
618;42;Bola12;21.0
619;42;Bola13;22.0
620;42;Bola14;24.0
621;42;Bola15;25.0
622;42;Bola2;3.0
623;42;Bola3;4.0
624;42;Bola4;5.0
625;42;Bola5;6.0
626;42;Bola6;8.0
627;42;Bola7;11.0
628;42;Bola8;12.0
629;42;Bola9;14.0
630;43;Bola1;1.0
631;43;Bola10;18.0
632;43;Bola11;19.0
633;43;Bola12;20.0
634;43;Bola13;22.0
635;43;Bola14;23.0
636;43;Bola15;24.0
637;43;Bola2;3.0
638;43;Bola3;6.0
639;43;Bola4;7.0
640;43;Bola5;8.0
641;43;Bola6;9.0
642;43;Bola7;10.0
643;43;Bola8;14.0
644;43;Bola9;17.0
645;44;Bola1;3.0
646;44;Bola10;18.0
647;44;Bola11;19.0
648;44;Bola12;21.0
649;44;Bola13;23.0
650;44;Bola14;24.0
651;44;Bola15;25.0
652;44;Bola2;4.0
653;44;Bola3;5.0
654;44;Bola4;6.0
655;44;Bola5;10.0
656;44;Bola6;11.0
657;44;Bola7;12.0
658;44;Bola8;13.0
659;44;Bola9;14.0
660;45;Bola1;1.0
661;45;Bola10;18.0
662;45;Bola11;19.0
663;45;Bola12;21.0
664;45;Bola13;23.0
665;45;Bola14;24.0
666;45;Bola15;25.0
667;45;Bola2;2.0
668;45;Bola3;3.0
669;45;Bola4;5.0
670;45;Bola5;7.0
671;45;Bola6;9.0
672;45;Bola7;14.0
673;45;Bola8;16.0
674;45;Bola9;17.0
675;46;Bola1;1.0
676;46;Bola10;18.0
677;46;Bola11;19.0
678;46;Bola12;21.0
679;46;Bola13;23.0
680;46;Bola14;24.0
681;46;Bola15;25.0
682;46;Bola2;2.0
683;46;Bola3;4.0
684;46;Bola4;5.0
685;46;Bola5;6.0
686;46;Bola6;8.0
687;46;Bola7;10.0
688;46;Bola8;11.0
689;46;Bola9;14.0
690;47;Bola1;1.0
691;47;Bola10;13.0
692;47;Bola11;15.0
693;47;Bola12;18.0
694;47;Bola13;20.0
695;47;Bola14;22.0
696;47;Bola15;25.0
697;47;Bola2;2.0
698;47;Bola3;3.0
699;47;Bola4;4.0
700;47;Bola5;5.0
701;47;Bola6;6.0
702;47;Bola7;8.0
703;47;Bola8;10.0
704;47;Bola9;11.0
705;48;Bola1;2.0
706;48;Bola10;18.0
707;48;Bola11;19.0
708;48;Bola12;20.0
709;48;Bola13;21.0
710;48;Bola14;22.0
711;48;Bola15;23.0
712;48;Bola2;5.0
713;48;Bola3;6.0
714;48;Bola4;7.0
715;48;Bola5;11.0
716;48;Bola6;13.0
717;48;Bola7;15.0
718;48;Bola8;16.0
719;48;Bola9;17.0
720;49;Bola1;2.0
721;49;Bola10;19.0
722;49;Bola11;20.0
723;49;Bola12;21.0
724;49;Bola13;22.0
725;49;Bola14;23.0
726;49;Bola15;24.0
727;49;Bola2;4.0
728;49;Bola3;5.0
729;49;Bola4;6.0
730;49;Bola5;8.0
731;49;Bola6;11.0
732;49;Bola7;13.0
733;49;Bola8;15.0
734;49;Bola9;16.0
735;50;Bola1;1.0
736;50;Bola10;13.0
737;50;Bola11;19.0
738;50;Bola12;20.0
739;50;Bola13;21.0
740;50;Bola14;23.0
741;50;Bola15;25.0
742;50;Bola2;2.0
743;50;Bola3;3.0
744;50;Bola4;6.0
745;50;Bola5;7.0
746;50;Bola6;9.0
747;50;Bola7;10.0
748;50;Bola8;11.0
749;50;Bola9;12.0
750;51;Bola1;1.0
751;51;Bola10;16.0
752;51;Bola11;17.0
753;51;Bola12;20.0
754;51;Bola13;21.0
755;51;Bola14;22.0
756;51;Bola15;23.0
757;51;Bola2;3.0
758;51;Bola3;5.0
759;51;Bola4;6.0
760;51;Bola5;7.0
761;51;Bola6;8.0
762;51;Bola7;11.0
763;51;Bola8;13.0
764;51;Bola9;14.0
765;52;Bola1;1.0
766;52;Bola10;16.0
767;52;Bola11;21.0
768;52;Bola12;22.0
769;52;Bola13;23.0
770;52;Bola14;24.0
771;52;Bola15;25.0
772;52;Bola2;2.0
773;52;Bola3;4.0
774;52;Bola4;8.0
775;52;Bola5;9.0
776;52;Bola6;11.0
777;52;Bola7;12.0
778;52;Bola8;13.0
779;52;Bola9;15.0
780;53;Bola1;1.0
781;53;Bola10;17.0
782;53;Bola11;18.0
783;53;Bola12;19.0
784;53;Bola13;20.0
785;53;Bola14;23.0
786;53;Bola15;24.0
787;53;Bola2;2.0
788;53;Bola3;3.0
789;53;Bola4;6.0
790;53;Bola5;7.0
791;53;Bola6;9.0
792;53;Bola7;11.0
